Antal nya cancerfall, Ålder: 0-85+, Diagnos:191 Tumör i huden, ej malignt melanom, oavsett tumörtyp
År;Region;Ålder;Män;Kvinnor
2014;Västmanlands län;5­9;0;0
2014;Västmanlands län;10­14;0;0
2014;Västmanlands län;15­19;0;0
2014;Västmanlands län;20­24;0;0
2014;Västmanlands län;25­29;0;0
2014;Västmanlands län;30­34;1;0
2014;Västmanlands län;35­39;0;0
2014;Västmanlands län;40­44;0;0
2014;Västmanlands län;45­49;0;0
2014;Västmanlands län;50­54;0;0
2014;Västmanlands län;55­59;2;0
2014;Västmanlands län;60­64;4;2
2014;Västmanlands län;65­69;10;3
2014;Västmanlands län;70­74;7;10
2014;Västmanlands län;75­79;16;6
2014;Västmanlands län;80­84;21;9
2014;Västmanlands län;85+;37;29
2014;Dalarnas län;0­4;0;0
2014;Dalarnas län;5­9;0;0
2014;Dalarnas län;10­14;0;0
2014;Dalarnas län;15­19;0;0
2014;Dalarnas län;20­24;0;0
2014;Dalarnas län;25­29;0;0
2014;Dalarnas län;30­34;0;0
2014;Dalarnas län;35­39;0;0
2014;Dalarnas län;40­44;0;1
2014;Dalarnas län;45­49;1;0
2014;Dalarnas län;50­54;2;2
2014;Dalarnas län;55­59;0;1
2014;Dalarnas län;60­64;1;1
2014;Dalarnas län;65­69;5;5
2014;Dalarnas län;70­74;8;4
2014;Dalarnas län;75­79;19;8
2014;Dalarnas län;80­84;23;8
2014;Dalarnas län;85+;28;17
2014;Gävleborgs län;0­4;0;0
2014;Gävleborgs län;5­9;0;0
2014;Gävleborgs län;10­14;0;0
2014;Gävleborgs län;15­19;0;0
2014;Gävleborgs län;20­24;0;0
2014;Gävleborgs län;25­29;0;0
2014;Gävleborgs län;30­34;0;0
2014;Gävleborgs län;35­39;0;0
2014;Gävleborgs län;40­44;0;0
2014;Gävleborgs län;45­49;0;0
2014;Gävleborgs län;50­54;1;3
2014;Gävleborgs län;55­59;2;1
2014;Gävleborgs län;60­64;3;4
2014;Gävleborgs län;65­69;10;7
2014;Gävleborgs län;70­74;11;10
2014;Gävleborgs län;75­79;29;8
2014;Gävleborgs län;80­84;14;13
2014;Gävleborgs län;85+;28;24
2014;Västernorrlands län;0­4;0;0
2014;Västernorrlands län;5­9;0;0
2014;Västernorrlands län;10­14;0;0
2014;Västernorrlands län;15­19;0;0
2014;Västernorrlands län;20­24;1;0
2014;Västernorrlands län;25­29;0;0
2014;Västernorrlands län;30­34;0;0
2014;Västernorrlands län;35­39;1;0
2014;Västernorrlands län;40­44;0;0
2014;Västernorrlands län;45­49;0;1
2014;Västernorrlands län;50­54;3;0
2014;Västernorrlands län;55­59;0;1
2014;Västernorrlands län;60­64;2;2
2014;Västernorrlands län;65­69;4;1
